,sepal.length,sepal.width,petal.length,petal.width,variety,product
107,7.3,2.9,6.3,1.8,Virginica,21.169999999999998
108,6.7,2.5,5.8,1.8,Virginica,16.75
109,7.2,3.6,6.1,2.5,Virginica,25.92
110,6.5,3.2,5.1,2.0,Virginica,20.8
111,6.4,2.7,5.3,1.9,Virginica,17.28
112,6.8,3.0,5.5,2.1,Virginica,20.4
113,5.7,2.5,5.0,2.0,Virginica,14.25
114,5.8,2.8,5.1,2.4,Virginica,16.24
115,6.4,3.2,5.3,2.3,Virginica,20.480000000000004
116,6.5,3.0,5.5,1.8,Virginica,19.5
117,7.7,3.8,6.7,2.2,Virginica,29.259999999999998
118,7.7,2.6,6.9,2.3,Virginica,20.02
119,6.0,2.2,5.0,1.5,Virginica,13.200000000000001
120,6.9,3.2,5.7,2.3,Virginica,22.080000000000002
121,5.6,2.8,4.9,2.0,Virginica,15.679999999999998
122,7.7,2.8,6.7,2.0,Virginica,21.56
123,6.3,2.7,4.9,1.8,Virginica,17.01
124,6.7,3.3,5.7,2.1,Virginica,22.11
125,7.2,3.2,6.0,1.8,Virginica,23.040000000000003
126,6.2,2.8,4.8,1.8,Virginica,17.36
127,6.1,3.0,4.9,1.8,Virginica,18.299999999999997
128,6.4,2.8,5.6,2.1,Virginica,17.919999999999998
129,7.2,3.0,5.8,1.6,Virginica,21.6
130,7.4,2.8,6.1,1.9,Virginica,20.72
131,7.9,3.8,6.4,2.0,Virginica,30.02
132,6.4,2.8,5.6,2.2,Virginica,17.919999999999998
133,6.3,2.8,5.1,1.5,Virginica,17.639999999999997
134,6.1,2.6,5.6,1.4,Virginica,15.86
135,7.7,3.0,6.1,2.3,Virginica,23.1
136,6.3,3.4,5.6,2.4,Virginica,21.419999999999998
137,6.4,3.1,5.5,1.8,Virginica,19.840000000000003
138,6.0,3.0,4.8,1.8,Virginica,18.0
139,6.9,3.1,5.4,2.1,Virginica,21.39
141,6.9,3.1,5.1,2.3,Virginica,21.39
142,5.8,2.7,5.1,1.9,Virginica,15.66
143,6.8,3.2,5.9,2.3,Virginica,21.76
144,6.7,3.3,5.7,2.5,Virginica,22.11
145,6.7,3.0,5.2,2.3,Virginica,20.1
146,6.3,2.5,5.0,1.9,Virginica,15.75
147,6.5,3.0,5.2,2.0,Virginica,19.5
148,6.2,3.4,5.4,2.3,Virginica,21.08
149,5.9,3.0,5.1,1.8,Virginica,17.700000000000003
